File Version,BWSpec4.11_1
90,794.45,12587.26,151.60,1124.0000,65535.0000,16189.6667,15065.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
91,794.61,12584.85,154.01,1091.0000,65535.0000,15529.3333,14438.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
92,794.76,12582.44,156.42,1092.0000,65535.0000,14953.0000,13861.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
93,794.91,12580.03,158.82,1071.0000,65535.0000,14316.3333,13245.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
94,795.06,12577.62,161.23,1052.0000,65535.0000,13817.6667,12765.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
95,795.21,12575.22,163.64,1075.0000,65535.0000,13324.3333,12249.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
96,795.37,12572.81,166.04,1089.0000,65535.0000,12697.3333,11608.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
97,795.52,12570.41,168.44,1079.0000,65535.0000,12117.3333,11038.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
98,795.67,12568.01,170.85,1050.0000,65535.0000,11461.6667,10411.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
99,795.82,12565.60,173.25,1061.0000,65535.0000,10860.6667,9799.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
100,795.98,12563.20,175.65,1049.0000,65535.0000,10296.3333,9247.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
101,796.13,12560.80,178.05,1085.0000,65535.0000,9733.3333,8648.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
102,796.28,12558.41,180.45,1087.0000,65535.0000,9250.0000,8163.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
103,796.43,12556.01,182.84,1077.0000,65535.0000,8747.3333,7670.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
104,796.58,12553.61,185.24,1074.0000,65535.0000,8367.6667,7293.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
105,796.74,12551.22,187.64,1078.0000,65535.0000,7981.0000,6903.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
106,796.89,12548.82,190.03,1062.0000,65535.0000,7558.0000,6496.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
107,797.04,12546.43,192.42,1078.0000,65535.0000,7273.0000,6195.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
108,797.19,12544.04,194.82,1138.0000,65535.0000,7094.3333,5956.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
109,797.34,12541.65,197.21,1107.0000,65535.0000,6769.3333,5662.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
110,797.50,12539.26,199.60,1069.0000,65535.0000,6475.0000,5406.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
111,797.65,12536.87,201.99,1092.0000,65535.0000,6294.0000,5202.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
112,797.80,12534.48,204.37,1050.0000,65535.0000,6056.0000,5006.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
113,797.95,12532.09,206.76,1113.0000,65535.0000,5917.3333,4804.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
114,798.10,12529.71,209.15,1117.0000,65535.0000,5736.6667,4619.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
115,798.26,12527.32,211.53,1096.0000,65535.0000,5607.0000,4511.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
116,798.41,12524.94,213.91,1096.0000,65535.0000,5428.6667,4332.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
117,798.56,12522.56,216.30,1055.0000,65535.0000,5328.0000,4273.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
118,798.71,12520.18,218.68,1081.0000,65535.0000,5201.3333,4120.3333,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
119,798.86,12517.80,221.06,1108.0000,65535.0000,5118.0000,4010.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
120,799.01,12515.42,223.44,1103.0000,65535.0000,4956.0000,3853.0000,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
121,799.17,12513.04,225.82,1081.0000,65535.0000,4793.6667,3712.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
122,799.32,12510.66,228.19,1056.0000,65535.0000,4599.6667,3543.6667,0.0000,0.0000,0.0000,1.0000,1.0000E+00,1.0000E+00,
